Date Rptd,DATE OCC,TIME OCC,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
7/6/2022 0:00,6/30/2020 0:00,1400,Southwest,396,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,B,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,VERMONT                      AV,43RD                         ST,34.0055,-118.2915
11/14/2022 0:00,7/24/2020 0:00,1500,West Valley,1017,1,761,BRANDISH WEAPON,59,F,H,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,761.0,SHERMAN                      WY,ENCINO,34.2012,-118.5133
7/5/2022 0:00,3/1/2020 0:00,1200,West Valley,1001,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,43,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,SHIRLEY,ROSCOE                       BL,34.2204,-118.5579
2/1/2023 0:00,4/1/2020 0:00,2300,Newton,1303,1,210,ROBBERY,50,X,H,BUS STOP,102.0,HAND GUN,IC,Invest Cont,210.0,12TH                         ST,SAN PEDRO                    ST,34.0337,-118.2533
3/5/2022 0:00,7/2/2020 0:00,940,Hollywood,636,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,W,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230.0,YUCCA                        ST,HIGHLAND                     AV,34.1032,-118.3387
3/30/2023 0:00,8/8/2020 0:00,2346,Northeast,1122,2,624,BATTERY - SIMPLE ASSAULT,40,M,H,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,LOS FELIZ                    BL,CRYSTAL SPRINGS              DR,34.117,-118.2717
6/8/2023 0:00,4/27/2020 0:00,1400,Topanga,2175,2,624,BATTERY - SIMPLE ASSAULT,81,M,W,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,TOPANGA CANYON,VENTURA,34.1732,-118.6152
4/6/2022 0:00,9/1/2020 0:00,1130,Hollenbeck,464,2,860,BATTERY WITH SEXUAL CONTACT,12,F,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,PERCY,SPENCE,34.0445,-118.2116
12/13/2022 0:00,12/21/2020 0:00,1800,Van Nuys,916,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,VANOWEN,WOODMAN,34.1939,-118.4313
7/14/2022 0:00,1/1/2020 0:00,1200,77th Street,1249,2,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,22,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,921.0,FIGUEROA,GAGE,33.9824,-118.2827
3/21/2022 0:00,3/21/2020 0:00,115,Devonshire,1781,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,35,F,W,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,DE SOTO                      AV,PARTHENIA                    ST,34.2282,-118.5885
4/25/2022 0:00,8/29/2020 0:00,2300,Foothill,1613,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",12,F,H,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,810.0,UNK FOOTHILL,DIVISION,34.2758,-118.4052
12/13/2022 0:00,12/21/2020 0:00,1800,Van Nuys,916,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,5,M,H,SINGLE FAMILY DWELLING,301.0,BELT FLAILING INSTRUMENT/CHAIN,AO,Adult Other,627.0,VANOWEN,WOODMAN,34.1939,-118.4313
7/13/2022 0:00,1/4/2020 0:00,1100,Mission,1916,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",14,F,O,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,810.0,UNKNOWN,UNKNOWN,34.306,-118.4413
11/14/2022 0:00,4/27/2020 0:00,2300,Newton,1331,1,121,"RAPE, FORCIBLE",53,F,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,MAIN                         ST,29TH                         ST,34.0225,-118.2702
5/6/2022 0:00,5/25/2020 0:00,1300,Central,111,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,29,F,H,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236.0,PASEO LUIS OLIVARES,N  SPRING                       ST,34.0615,-118.2412
5/17/2023 0:00,1/1/2020 0:00,1200,Olympic,2055,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,B,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,FEDORA                       ST,11TH                         ST,34.0509,-118.2979
5/12/2022 0:00,1/1/2020 0:00,1200,77th Street,1233,1,121,"RAPE, FORCIBLE",15,F,B,TRAIN TRACKS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,SLAUSON                      AV,WESTERN                      AV,33.9892,-118.3089
10/17/2022 0:00,9/1/2020 0:00,1200,Newton,1367,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,13,F,H,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,31ST                         ST,GRIFFITH                     AV,33.9993,-118.2432
8/29/2023 0:00,8/29/2020 0:00,1,Southeast,1837,1,121,"RAPE, FORCIBLE",10,F,H,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,112TH                        ST,COMPTON,33.933,-118.2463
10/17/2022 0:00,5/14/2020 0:00,2100,Newton,1367,2,624,BATTERY - SIMPLE ASSAULT,53,F,H,YARD (RESIDENTIAL/BUSINESS),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,VERNON                       AV,ALAMEDA                      ST,34.0039,-118.2392
10/30/2022 0:00,10/30/2020 0:00,1930,Southeast,1821,2,624,BATTERY - SIMPLE ASSAULT,31,F,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,VERMONT                      AV,COLDEN                       ST,33.9491,-118.2916
4/8/2023 0:00,10/13/2020 0:00,1,Southwest,328,2,624,BATTERY - SIMPLE ASSAULT,20,M,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,UNIVERSITY                   AV,30TH                         ST,34.0267,-118.2817
2/25/2022 0:00,4/29/2020 0:00,2200,Olympic,2071,1,820,ORAL COPULATION,15,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,PICO                         BL,VAN NESS                     AV,34.0472,-118.3157
10/31/2023 0:00,12/1/2020 0:00,300,Southeast,1824,1,121,"RAPE, FORCIBLE",20,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,103RD                        ST,STANFORD,33.9433,-118.2625
12/31/2020 0:00,12/31/2020 0:00,1300,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",15,F,B,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,104TH                        ST,WESTERN                      AV,33.964,-118.2739
1/25/2022 0:00,8/20/2020 0:00,1,77th Street,1269,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,17,F,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,822.0,59TH                         ST,DENVER                       AV,33.9638,-118.2629
6/11/2022 0:00,6/11/2020 0:00,1700,Topanga,2134,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,SHERMAN                      WY,TOPANGA CANYON,34.201,-118.6066
2/6/2022 0:00,8/1/2020 0:00,2300,Van Nuys,939,1,121,"RAPE, FORCIBLE",19,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,AETNA,VAN NUYS                     BL,34.1781,-118.4179
1/5/2021 0:00,12/31/2020 0:00,2130,Mission,1993,1,210,ROBBERY,51,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,ROSCOE                       BL,SEPULVEDA                    BL,34.2214,-118.4677
3/23/2023 0:00,2/1/2020 0:00,1700,77th Street,1249,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,18,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,822.0,65TH                         ST,FIGUEROA                     ST,33.9806,-118.2827
2/15/2022 0:00,2/11/2020 0:00,2000,Central,145,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,BROADWAY,5TH                          ST,34.0471,-118.2474
1/4/2022 0:00,4/15/2020 0:00,2000,Mission,1963,1,121,"RAPE, FORCIBLE",21,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,LASSEN                       ST,WOODMAN                      AV,34.2506,-118.4507
2/22/2022 0:00,1/1/2020 0:00,1200,Devonshire,1785,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",15,F,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,810.0,NORDHOFF,RESEDA                       BL,34.2354,-118.5361
3/25/2022 0:00,10/4/2020 0:00,423,Hollywood,647,2,860,BATTERY WITH SEXUAL CONTACT,25,F,A,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,ARGYLE                       AV,HOLLYWOOD                    BL,34.1016,-118.3252
4/7/2022 0:00,11/13/2020 0:00,1830,Olympic,2015,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,31,F,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,CATALINA,BEVERLY,34.0763,-118.2954
10/21/2020 0:00,10/18/2020 0:00,1845,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,M,H,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,ATOLL                        AV,N  GAULT,34.1993,-118.4203
12/2/2020 0:00,12/2/2020 0:00,2245,77th Street,1268,1,210,ROBBERY,21,M,H,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210.0,SAN PEDRO,85TH                         ST,33.961,-118.2695
11/8/2020 0:00,11/8/2020 0:00,730,Southeast,1844,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,108TH                        ST,AVALON                       AV,33.9383,-118.2652
4/11/2020 0:00,4/11/2020 0:00,2035,77th Street,1259,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,F,B,ALLEY,215.0,MACHETE,IC,Invest Cont,230.0,74TH                         ST,AVALON,33.973,-118.2652
2/22/2020 0:00,2/22/2020 0:00,1900,Harbor,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),29,F,W,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,PACIFIC COAST,VERMONT,33.7926,-118.3043
